region,soc_pct,metric,n,median,q25,q75,p5,p95,mean,sd
north_america,50,yield_pen,1000,2.1170778670691,1.5577712251010318,2.771343812173224,1.0647207592047432,3.732460471746579,2.2152484473862426,0.8351942363548802
north_america,50,profit_chg,1000,-1.812384363564823,-3.0691252819069454,-0.3413035451137164,-4.642414419772628,3.3823229170902462,-1.465278732539579,2.41148772065806
north_america,100,yield_pen,1000,1.4592022575062202,1.0471546708626573,2.0254804099572477,0.6418840482811256,2.882297001655008,1.5952310917803172,0.717021004823846
north_america,100,profit_chg,1000,-0.9545319119674767,-2.2371763183448996,0.6200590726249733,-3.810880439009617,4.418393943679471,-0.5389351182414335,2.482087833644018
north_america,150,yield_pen,1000,1.040699446157134,0.6950656674092864,1.5324302291144538,0.4016065416975778,2.3454781260031656,1.1753632213828278,0.6219608517501878
north_america,150,profit_chg,1000,-0.3340073866007709,-1.6881244614907143,1.3301039095744593,-3.2985173982229488,5.1345931211011315,0.08742971064289363,2.5777543606159834
europe,50,yield_pen,1000,2.676008616663034,2.0286905620651274,3.4148923138127425,1.406551869650633,4.595376942064131,2.7804756380509272,0.9733325578915981
europe,50,profit_chg,1000,,,,,,,
europe,100,yield_pen,1000,2.397956549391944,1.7722352377853634,3.1204812119170673,1.2210327792059106,4.185244083524815,2.5021273145436607,0.9241982677130247
europe,100,profit_chg,1000,,,,,,,
europe,150,yield_pen,1000,2.1412570560352338,1.563553154197686,2.8207952832356717,1.0349250551386135,3.836412677188055,2.2586112457905916,0.8811226717791572
europe,150,profit_chg,1000,,,,,,,
east_asia,50,yield_pen,1000,1.397746268549399,0.9563986148795667,2.000060680229196,0.5641537233819843,3.048546978115891,1.5489591956023856,0.7861498224166996
east_asia,50,profit_chg,1000,,,,,,,
east_asia,100,yield_pen,1000,1.0633047784326277,0.6991206370806025,1.5786053305086893,0.38427895668299517,2.4881589647963325,1.199591554843907,0.6662871766075038
east_asia,100,profit_chg,1000,,,,,,,
east_asia,150,yield_pen,1000,0.8069762898265609,0.5137552410757529,1.2501084863698442,0.2604373226607143,2.035286975273776,0.9364237893200302,0.5716938191098415
east_asia,150,profit_chg,1000,,,,,,,
south_asia,50,yield_pen,1000,3.0098069582735807,2.2225833029480806,3.8719306436612424,1.504739309037107,5.180918526105875,3.1141452580008453,1.1571265420543686
south_asia,50,profit_chg,1000,-7.0330306681264005,-9.341500761516006,-5.027583516938264,-12.794794969080893,-2.191205657430468,-7.197845906299172,3.255566998140459
south_asia,100,yield_pen,1000,2.859557002039226,2.1043555031886347,3.733656203273397,1.4071012962662555,4.977542546312279,2.978878110185429,1.1322046353775315
south_asia,100,profit_chg,1000,-6.810528428842478,-9.124942441873637,-4.816167809983432,-12.606567558780037,-1.8854596160758608,-6.971439492962001,3.261343998323387
south_asia,150,yield_pen,1000,2.722786747492129,1.9954327126102511,3.5730780320042594,1.3158864339176641,4.793972540497181,2.850745331175069,1.1085659021232244
south_asia,150,profit_chg,1000,-6.58855715081641,-8.966121515728982,-4.602694807732235,-12.413379229772934,-1.6024221554115854,-6.7572708875619005,3.2682273446233725
southeast_asia,50,yield_pen,1000,4.688781210185649,3.4660949812090474,6.117344571063607,2.3130034814976974,8.227517115550803,4.909038110570345,1.8505691454191873
southeast_asia,50,profit_chg,1000,,,,,,,
southeast_asia,100,yield_pen,1000,2.976054873504369,2.0972554371151557,4.182915679372204,1.2395215654973213,6.138086292032951,3.2615280070462207,1.548583300756769
southeast_asia,100,profit_chg,1000,,,,,,,
southeast_asia,150,yield_pen,1000,1.926307237759478,1.267046005576583,2.9857237857085717,0.6728709922655157,4.770704101119492,2.2491135518461225,1.3034292847536653
southeast_asia,150,profit_chg,1000,,,,,,,
latin_america,50,yield_pen,1000,1.981689187133373,1.4582279084522531,2.709720063370766,0.9290562972133065,3.749816999220365,2.1447605027404952,0.8950178861709903
latin_america,50,profit_chg,1000,-2.03055447453388,-2.8156111381685474,-1.2389868575747949,-3.8277326001944307,0.7665859383282921,-1.8893407877998367,1.395204480078226
latin_america,100,yield_pen,1000,1.5198864330310036,1.0825174356918321,2.159304533006559,0.6487608139769652,3.241494112110822,1.691648985463556,0.8094455872435946
latin_america,100,profit_chg,1000,-1.3988292553819004,-2.200943228871757,-0.5626569312339291,-3.208748755292876,1.5473601989670507,-1.2406756768527196,1.4388409793357706
latin_america,150,yield_pen,1000,1.176492288930392,0.8003904411484131,1.7706988885632047,0.45102852537142135,2.7856952743592194,1.3547891400101184,0.7330174936648783
latin_america,150,profit_chg,1000,-0.9278093786340813,-1.7343797915075454,-0.06574513941078886,-2.7754841704891993,2.1609559787274204,-0.7592779112832888,1.4964605800615773
sub_saharan_africa,50,yield_pen,1000,3.9995864002052794,3.158182567411269,4.933906791308562,2.2371979415389935,6.360340018977163,4.1171589620613664,1.2502125668243103
sub_saharan_africa,50,profit_chg,1000,-1.0186241587085587,-1.729604775465976,0.04939938905561547,-2.7627846108790397,2.2695152654550284,-0.7231145540700118,1.5633045520901494
sub_saharan_africa,100,yield_pen,1000,3.3521472506854666,2.5855331828959773,4.282397046653621,1.7592743478899926,5.518955136903398,3.4837333173866227,1.1743681882895385
