scenario,region,year,yield_tha,soc_total,fert_applied_kgha
SC2_20pct_recovery,fsu_central_asia,11,2.6858,35.47,34.32
SC2_20pct_recovery,fsu_central_asia,12,2.6923,35.44,34.72
SC2_20pct_recovery,fsu_central_asia,13,2.699,35.42,35.11
SC2_20pct_recovery,fsu_central_asia,14,2.706,35.4,35.51
SC2_20pct_recovery,fsu_central_asia,15,2.7131,35.38,35.91
SC2_20pct_recovery,fsu_central_asia,16,2.7203,35.37,36.31
SC2_20pct_recovery,fsu_central_asia,17,2.7277,35.35,36.71
SC2_20pct_recovery,fsu_central_asia,18,2.7352,35.34,37.11
SC2_20pct_recovery,fsu_central_asia,19,2.7428,35.33,37.51
SC2_20pct_recovery,fsu_central_asia,20,2.7504,35.33,37.92
SC2_20pct_recovery,fsu_central_asia,21,2.7514,35.32,37.92
SC2_20pct_recovery,fsu_central_asia,22,2.7518,35.31,37.92
SC2_20pct_recovery,fsu_central_asia,23,2.7519,35.3,37.92
SC2_20pct_recovery,fsu_central_asia,24,2.7519,35.29,37.92
SC2_20pct_recovery,fsu_central_asia,25,2.7517,35.28,37.92
SC2_20pct_recovery,fsu_central_asia,26,2.7515,35.28,37.92
SC2_20pct_recovery,fsu_central_asia,27,2.7512,35.27,37.92
SC2_20pct_recovery,fsu_central_asia,28,2.7509,35.26,37.92
SC2_20pct_recovery,fsu_central_asia,29,2.7505,35.25,37.92
SC2_20pct_recovery,fsu_central_asia,30,2.7501,35.24,37.92
