region,soc_pct,fert_reduction_pct,yield_penalty_pct,gross_margin_change_pct,fert_cost_saved,yield_value_lost
sub_saharan_africa,20,29.10470097607114,4.7447171474487515,-14.916176027405047,-2.03732906832498,-12.003606196407365
sub_saharan_africa,30,29.119909474251838,4.546885734603379,-14.604047771880879,-2.0383936631976285,-11.966616132894849
sub_saharan_africa,40,29.132979116673308,4.362222053829623,-14.247451786041243,-2.0393085381671314,-11.927523774411222
sub_saharan_africa,50,29.144330278405327,4.189505317751118,-13.867938810851943,-2.040103119488373,-11.886552534048601
sub_saharan_africa,60,29.154279947974782,4.027652730209286,-13.479403798400524,-2.0407995963582346,-11.843880256299975
sub_saharan_africa,70,29.163071669865005,3.875702931209568,-13.090826519636911,-2.04141501689055,-11.79965215696543
sub_saharan_africa,80,29.170895650551554,3.732800934271907,-12.707976328427828,-2.0419626955386088,-11.7539895181089
sub_saharan_africa,90,29.177902602335305,3.598184769808488,-12.334497318718874,-2.042453182163471,-11.706995680350305
sub_saharan_africa,100,29.184213488169352,3.471173802542493,-11.972612744901456,-2.042894944171855,-11.65876026594464
sub_saharan_africa,110,29.189926516839893,3.3511585870648286,-11.791445701145797,-2.0432948561787923,-11.496431869502683
sub_saharan_africa,120,29.195122253007156,3.23759209019322,-11.609578544530363,-2.0436585577105006,-11.336160041849707
south_asia,20,23.59140198369819,2.766078368559377,-10.622199120048737,-25.950542182068006,-13.374644512367961
south_asia,30,23.62287134873219,2.7395235770794835,-10.437124921217434,-25.985158483605403,-13.6949801158754
south_asia,40,23.651659075685217,2.7129123471241523,-10.251545119366078,-26.01682498325374,-14.007160229107019
south_asia,50,23.67809142811932,2.6862930934148377,-10.06719913680355,-26.045900570931252,-14.31137737708914
south_asia,60,23.702443818919615,2.6597059417059365,-9.885307737692218,-26.072688200811584,-14.607811047343056
south_asia,70,23.72495034553407,2.633184294957469,-9.70671505438575,-26.09744538008748,-14.89662984544502
south_asia,80,23.74581125718407,2.606756060299964,-9.53199041007734,-26.12039238290248,-15.177993188458583
south_asia,90,23.765198859062497,2.580444619435285,-9.361501982236376,-26.141718744968742,-15.452052648756442
south_asia,100,23.783262222342895,2.5542696028810763,-9.195470519844273,-26.161588444577177,-15.718953030473415
south_asia,110,23.800130972603295,2.52824751274513,-9.421300826704815,-26.18014406986363,-15.575361043582614
south_asia,120,23.815918360396402,2.5023922274480914,-9.629351788909124,-26.197510196436042,-15.43229472781844
latin_america,20,18.188569485900395,2.236370668924459,-6.617482305671107,-9.094284742950201,-11.981312870935454
latin_america,30,18.257155032566175,2.1158580955460193,-6.854212295194639,-9.128577516283087,-11.872867509834037
latin_america,40,18.31400855619002,2.00189581451623,-6.971994742116894,-9.157004278095009,-11.744318421561246
latin_america,50,18.361833954971463,1.8943354138037938,-7.008919310615802,-9.18091697748573,-11.599009382938945
latin_america,60,18.40256476624966,1.7929278712599084,-6.990349501476545,-9.201282383124834,-11.43962877210626
latin_america,70,18.437620284941715,1.6973745149667208,-6.933562303245289,-9.218810142470858,-11.268399047791036
latin_america,80,18.4680658707984,1.6073564096447668,-6.850544037377793,-9.234032935399199,-11.087197523497423
latin_america,90,18.49471680588288,1.5225514411594365,-6.749733744564745,-9.247358402941444,-10.8976364950027
latin_america,100,18.518207607567295,1.4426441858307881,-6.637142293791887,-9.259103803783646,-10.701118356469266
latin_america,110,18.539039497948206,1.367331458322929,-6.764204610214808,-9.269519748974105,-10.222426234391975
latin_america,120,18.55761366009949,1.2963252344770249,-6.869091604016986,-9.278806830049746,-9.763898590511104
north_america,20,12.116140591896885,2.8310516387184625,-3.720278806490729,-9.208266849841635,-16.261850158273813
north_america,30,12.188828603393965,2.649068617081207,-3.5883425154571436,-9.263509738579415,-16.431275584776994
north_america,40,12.253441381473273,2.4792902450565757,-3.478776223177127,-9.31261544991969,-16.52775631097672
north_america,50,12.311138049690895,2.3209475497624643,-3.385733023981219,-9.35646491776508,-16.558858840541156
north_america,60,12.362869230548679,2.173283088311717,-3.3050872051302194,-9.395780615216992,-16.53159630296768
north_america,70,12.409421898879236,2.0355668016700856,-3.2338765096330824,-9.431160643148218,-16.452447184127877
north_america,80,12.451453129012357,1.9071048843923966,-3.169941625998818,-9.463104378049394,-16.327379174582646
north_america,90,12.48951581712564,1.7872441886456092,-3.1116875796612264,-9.49203202101549,-16.161875884230554
north_america,100,12.524078520388592,1.6753737903335897,-3.057922470132224,-9.518299675495328,-15.96096492191272
north_america,110,12.555540925324882,1.5709247770876122,-3.2843260135183794,-9.542211103246913,-15.081595282892062
north_america,120,12.584246029216906,1.473368951144316,-3.4869095075107603,-9.564026982204851,-14.247275287383188
