id,country,lat,lon,elev,SOC_pct,A_control,B_gain,C_base,ceiling,k_perkgN,citation
Nig_Tum_Maiz_1983_N,Nigeria,10,10.9,470,6,4.64,0.68,0.928,5.319999999999999,0.07472354619593642,Uyovbisere E.O. & G. Lombin. 1990.Response of early maturing
Nig_Ilo_Maiz_1983_N,Nigeria,8.482,4.6579,310,6,4.116,-0.739,0.9,3.377,0.10536051565782628,Uyovbisere E.O. & G. Lombin. 1990.Response of early maturing
Nig_Ilo_Maiz_1983_N,Nigeria,8.482,4.6579,310,6,3.343,0.385,0.928,3.7279999999999998,0.07472354619593642,Uyovbisere E.O. & G. Lombin. 1990.Response of early maturing
Eth_Bak_Maiz_1989-95_N,Ethiopia,9.13,37.83,1650,-9,4.805,1.131,0.967,5.936,0.033556783528842754,"Tolessa Debele,: N,P fertilizer trail on Gutto and BH-140 ma"
Eth_Bak_Maiz_1989-95_N,Ethiopia,9.13,37.83,1650,-9,6.037,1.639,0.974,7.676,0.026343975339601977,"Tolessa Debele,: N,P fertilizer trail on Gutto and BH-140 ma"
Gha_Eju_Maiz_2008_N,Ghana,7.367,-1.32,110,-9,4.408,2.8,0.984,7.208,0.016129381929883644,"Fosu-Mensah, B.Y., D.S. MacCarthy, P.L.G. Vlek, E.Y. Safo. 2"
Ken_Mwe_Maiz_1990_N,Kenya,-0.67,37.5,1150,-9,2.288,0.822,0.961,3.11,0.0397808700118446,"F.K. Kanampiu, E. Njiru, N. Njakuthi, I. N. Mwangi, C.N.  Mu"
Ken_Mal_Maiz_1992_N,Kenya,0.441,34.854,1595,-9,3.2,0.8,0.8,4.0,0.2231435513142097," J.R. Okalebo, H.F. Schnier, J.K. Lekasi, A.K. Ingavo, P.M. "
Ken_Bar_Maiz_1988_N,Kenya,0.2326,35.096,2000,-9,4.61,0.62,0.87,5.23,0.13926206733350766,FURP
Ken_Bar_Maiz_1990_N,Kenya,0.2326,35.096,2000,-9,4.71,0.31,0.87,5.02,0.13926206733350766,FURP
Ken_Mau_Maiz_1990_N,Kenya,-0.0843,36.651,2530,-9,5,0,0.0001,5.0,9.210340371976182,FURP
Ken_Che_Maiz_1988_N,Kenya,-0.655,35.17,1840,-9,9,0,0.0001,9.0,9.210340371976182,FURP
Mal_Chi_Maiz_1989_N,Malawi,-15.35,35.38,820,-9,8.32,1.02,0.95,9.34,0.05129329438755058,Mughogho SK. 1991. Fertilizer recommendations for small scal
Mal_Chi_Maiz_1989_N,Malawi,-15.35,35.38,820,-9,7.23,2.77,0.98,10.0,0.020202707317519466,Mughogho SK. 1991. Fertilizer recommendations for small scal
Mal_Mer_Maiz_1986-87_N,Malawi,-9.76,33.36,1270,-9,5.627,4.537,0.984,10.164,0.016129381929883644,"Kumwenda, JDT, VH Kabambe, WD Sakala, LDM Ngwira. Effects of"
Nig_Bau_Maiz_1996_N,Nigeria,10.02,9.78,830,-9,2.335,1.773,0.937,4.108,0.0650719967437148,"Carsky RJ, Oyewole B, Tian G (1999) Integrated soil manageme"
Nig_Aku_Maiz_??_N,Nigeria,7.25,5.19,380,20,7.179,4.07,0.994,11.249,0.006018072325563021,"Onasanya, R. O.; Aiyelari, O. P.; Onasanya, A.; Oikeh, S.; N"
Nig_Kad_Maiz_1995-96_N,Nigeria,10.66,7.7,540,7,2.597,1.77,0.967,4.367,0.033556783528842754,"CARSKY R.J., OYEWOLE B., TIAN G., 1999. Integrated soil mana"
Tan_S2-_Maiz_1997_N,Tanzania,-5.14,38.87,80,-9,3.5,1.95,0.94,5.45,0.06187540371808753,Jeremias G. Mowo. Effectiveness of Phosphate Rock on Ferrals
Tan_S3-_Maiz_1997_N,Tanzania,-5.13,38.88,80,-9,1.6,0.4,0.9,2.0,0.10536051565782628,Jeremias G. Mowo. Effectiveness of Phosphate Rock on Ferrals
Tan_Mbu_Maiz_ 1984-85_N,Tanzania,-3.84,35.5,1800,-9,9,0.3,0.98,9.3,0.020202707317519466,ND
Tan_Mbe_Maiz_1982-86_N,Tanzania,-8.91,33.54,1825,-9,4.386,1.85,0.967,6.236000000000001,0.033556783528842754,data- Tanzania.xlsx
Tan_Mbe_Maiz_1982-86_N,Tanzania,-8.91,33.54,1825,-9,3.742,2.159,0.969,5.901,0.03149066709137085,data- Tanzania.xlsx
Tan_Kar_Maiz_1984-85_N,Tanzania,-3.35,35.67,1560,-9,6.3,0.8,0.98,7.1,0.020202707317519466,ND
Tan_Dar_Maiz_1989-90_N,Tanzania,-4.239,35.498,1660,-9,7.151,3.2,0.987,10.350999999999999,0.01308523954865548,ND
Tan_Rho_Maiz_1989-90_N,Tanzania,-3.29,35.71,1670,-9,4.7,0.6,0.96,5.3,0.040821994520255166,ND
Tan_Don_Maiz_1989-90_N,Tanzania,-4.06,35.35,1980,-9,6.9,2.5,0.97,9.4,0.030459207484708574,ND
Tan_Nga_Maiz_1989-90_N,Tanzania,-3.32,36.63,1500,-9,6.6,1.2,0.99,7.8,0.01005033585350145,ND
Tan_Bas_Maiz_1989-93_N,Tanzania,-4.439,35.149,1730,-9,7.184,2.877,0.986,10.061,0.014098924379501648,"Wortmann, C., C. Senkoro, A.R. Cyamweshi, C. Kibunja, D. Nko"
Tan_End_Maiz_1990/91_N,Tanzania,-3.3,35.7,1560,-9,5.2,0.6,0.98,5.8,0.020202707317519466,ND
Tan_Hay_Maiz_1990/91_N,Tanzania,-4.195,35.026,1730,-9,7,0,0.0001,7.0,9.210340371976182,ND
Tan_Dar_Maiz_1990/91 _N,Tanzania,-4.239,35.498,1660,-9,4.206,1.897,0.977,6.103000000000001,0.02326862693935433,ND
