year,North America,Europe,East Asia,South Asia,Southeast Asia,Latin America,Sub-Saharan Africa,Former Soviet Union & Central Asia
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.502,3.217,1.103,2.777,2.981,1.735,3.353,4.864
2,2.545,4.237,1.125,4.338,3.157,2.174,3.659,5.048
3,2.453,4.09,1.053,4.213,3.08,2.15,3.708,4.987
4,2.339,3.911,0.977,4.027,2.966,2.086,3.69,4.854
5,2.212,3.708,0.902,3.82,2.831,2.003,3.623,4.671
6,2.077,3.488,0.829,3.598,2.681,1.905,3.52,4.452
7,1.936,3.258,0.757,3.365,2.52,1.797,3.388,4.207
8,1.792,3.021,0.688,3.126,2.352,1.682,3.232,3.942
9,1.646,2.78,0.621,2.883,2.178,1.561,3.058,3.664
10,1.499,2.537,0.556,2.637,1.999,1.437,2.869,3.377
11,1.353,2.293,0.493,2.389,1.818,1.311,2.667,3.082
12,1.206,2.05,0.434,2.14,1.634,1.183,2.453,2.783
13,1.06,1.807,0.376,1.89,1.448,1.054,2.229,2.48
14,0.915,1.566,0.32,1.641,1.261,0.924,1.997,2.175
15,0.771,1.327,0.265,1.392,1.072,0.794,1.757,1.869
16,0.628,1.089,0.211,1.144,0.883,0.663,1.509,1.561
17,0.486,0.854,0.158,0.897,0.693,0.533,1.254,1.254
18,0.346,0.62,0.107,0.651,0.503,0.403,0.992,0.946
19,0.207,0.389,0.056,0.406,0.311,0.272,0.724,0.639
20,0.064,0.149,0.007,0.162,0.12,0.136,0.449,0.297
21,0.049,0.081,0.004,0.07,0.091,0.095,0.375,0.241
22,0.041,0.068,0.003,0.057,0.077,0.08,0.326,0.205
23,0.036,0.058,0.003,0.048,0.068,0.07,0.288,0.179
24,0.032,0.051,0.003,0.042,0.06,0.062,0.259,0.159
25,0.029,0.045,0.003,0.038,0.054,0.055,0.235,0.144
26,0.027,0.041,0.003,0.034,0.05,0.05,0.215,0.132
27,0.025,0.038,0.003,0.031,0.046,0.046,0.199,0.123
28,0.023,0.036,0.003,0.029,0.043,0.043,0.186,0.115
29,0.022,0.034,0.003,0.027,0.041,0.04,0.174,0.109
30,0.021,0.032,0.003,0.026,0.038,0.038,0.164,0.104
