region,soc_pct,total_penalty,ctrl_penalty,yield_shock,yield_noshock
north_america,10,41.59630181689353,2.7011688727529126,3.272792801689117,3.363650687035458
north_america,20,37.38206279783887,2.620234425570378,3.50894790068504,3.6033644977334323
north_america,30,33.11915186823031,2.5488554920334194,3.7478304481724236,3.845855753768023
north_america,40,28.80916783953661,2.482388135109692,3.9893508508750037,4.0909029400783625
north_america,50,24.454223619194092,2.418087544917358,4.233390706902773,4.338294465023341
north_america,60,20.056684346643095,2.3543068290469704,4.479817479933956,4.5878290526249055
north_america,70,15.6190558754992,2.290100944152351,4.728490748386867,4.8393159690854075
north_america,80,11.143920032946342,2.224989724564508,4.979265833316753,5.092575106144191
north_america,90,6.63389005494871,2.158803336397197,5.231996295711723,5.3474369428456106
north_america,100,2.0915768053964556,2.0915768053964556,5.486535829484805,5.603742405880364
north_america,110,1.5958802891142376,1.9186863470739501,5.5143133853721835,5.622185490791166
north_america,120,1.2507784242645759,1.8828887790213966,5.533652004916248,5.639843994645744
europe,10,36.30396434478407,4.465910891083469,3.2577812731374163,3.410072052315571
europe,20,32.823949630795845,4.378755791286448,3.4357692224478082,3.5931024019605062
europe,30,29.3110012652684,4.299993341485231,3.6154415879410418,3.7778906336359834
europe,40,25.765139889878654,4.226787625090922,3.7967973138831486,3.964362497334217
europe,50,22.186708999170268,4.157219437236115,3.9798188319893795,4.152445086234892
europe,60,18.576224696231737,4.089923297703213,4.1644797457821605,4.342066953724407
europe,70,14.934316892829468,4.02391374298261,4.350747837954163,4.533158214331806
europe,80,11.261698569836899,3.9584810977689955,4.538586642566594,4.725650629481209
europe,90,7.559146798117078,3.893121907332231,4.7279564157503176,4.919477678997696
europe,100,3.8274895809110476,3.8274895809110476,4.91881480866172,5.114574619324277
europe,110,3.282883477994558,3.5826650240073366,4.9466690941767775,5.130476895475765
europe,120,2.9498702292479417,3.5419447283531302,4.963701305276159,5.145968671353882
east_asia,10,34.60584052135489,1.6939737674923516,3.8452009797546713,3.911460087563938
east_asia,20,30.912315345923925,1.6249483426284406,4.062381638341675,4.129483613884606
east_asia,30,27.21228471532877,1.5588581112179867,4.279944820119901,4.347719599753676
east_asia,40,23.506183695743054,1.4954906435151294,4.497864943035992,4.566151308625226
east_asia,50,19.79443600652816,1.4346779114465913,4.716117092233383,4.784763030547714
east_asia,60,16.077449329739192,1.3762802477535474,4.934677295855105,5.003540028962153
east_asia,70,12.355613860227365,1.3201779840490757,5.1535226102983005,5.222468489520855
east_asia,80,8.629301857672466,1.2662661991959312,5.372631146554887,5.441535470940665
east_asia,90,4.898867626257253,1.2144511459215912,5.591982071406705,5.66072885788885
east_asia,100,1.1646477134632183,1.1646477134632183,5.81155559573626,5.880037315886516
east_asia,110,0.9042205075826204,1.0716009877349442,5.8268688126227595,5.889985960351334
east_asia,120,0.8528015179155579,1.0479916692166746,5.829892268402634,5.891636124164438
south_asia,10,37.71949112847015,6.445374045109276,1.9167396061833315,2.0487919080639867
south_asia,20,34.16454025703716,6.22447712339369,2.0261464696912563,2.1606346811388546
south_asia,30,30.579082962558303,6.0136007203991255,2.13649219626171,2.273192943487326
south_asia,40,26.96416378849683,5.811089441558625,2.2477446391145417,2.3864217409329562
south_asia,50,23.320985367042766,5.615823434564748,2.359866786144487,2.5002779830456263
south_asia,60,19.650827488911926,5.427011739313525,2.4728192506221003,2.6147204356130502
south_asia,70,15.955009759293826,5.2440844749425,2.5865614204911047,2.72970970325025
south_asia,80,12.234869241119661,5.0666259494625105,2.70105214641726,2.8452082035758712
south_asia,90,8.491745182179999,4.894329823502719,2.8162502118252815,2.961180134264213
south_asia,100,4.726967759328781,4.726967759328781,2.932114679306253,3.0775914341630024
south_asia,110,3.871907268940311,4.387977129185828,2.9584299477153606,3.094202861613578
south_asia,120,3.5769161517114734,4.29455215328447,2.9675085690707372,3.1006683901877565
southeast_asia,10,41.16342808689496,6.759275707390944,2.4746292618799894,2.6540219208444595
southeast_asia,20,37.188854200552576,6.377619432306081,2.641797343276251,2.821758352284251
southeast_asia,30,33.16720748768185,6.02287953334002,2.810945278191825,2.9910953477118474
southeast_asia,40,29.10155840678884,5.6891885734363985,2.9819439250703725,3.1618261787433606
southeast_asia,50,24.99584381787825,5.373306477764627,3.154627702052673,3.333760892016584
southeast_asia,60,20.854297808530507,5.07331453966785,3.3288185260743464,3.5067257535979057
southeast_asia,70,16.68119853504323,4.78802018328115,3.504336460568446,3.6805625377334064
southeast_asia,80,12.48072846464109,4.516636771819682,3.681005593590334,3.855127709309622
southeast_asia,90,8.256890576437337,4.258599568761545,3.8586575623526107,4.030291540516896
southeast_asia,100,4.013457520922303,4.013457520922303,4.037133691545097,4.205937194190608
southeast_asia,110,3.119133701434551,3.653614284422846,4.074748389705438,4.229269587480372
