region,year,price_linear,price_realized,dprice_pp,yloss_linear_pct,yloss_realized_pct,dyield_pp,dfert_pct
north_america,1,1.0451165844966166,1.0522303479052737,0.7113763408657103,1.580736357282897,1.5730431475953321,0.007693209687564817,0.06785910316313704
north_america,2,1.0447579364440425,1.055814901599148,1.105696515510557,1.6897749413619323,1.677233647782428,0.012541293579504398,0.1053321206145208
north_america,5,1.0487352572972681,1.0583285243075333,0.9593267010265194,1.7617139205375998,1.7500196034766047,0.011694317060995107,0.09110025518388465
north_america,10,1.0507969453938115,1.0596764625729669,0.8879517179155361,1.8000556368035436,1.7889579880722484,0.011097648731295262,0.08418307062127983
north_america,20,1.0519215899735386,1.0605259862910656,0.8604396317527074,1.8243573739978314,1.8134651362450516,0.01089223775277981,0.0814974035108218
north_america,30,1.0525174733311105,1.0610076742234753,0.8490200892364852,1.8381836911392946,1.8273494852400707,0.010834205899223903,0.08037432725744864
europe,1,1.0874112149246504,1.0751034479806334,-1.230776694401703,2.5285882222508604,2.545093460136616,-0.01650523788575553,-0.1137647544800724
europe,2,1.0862446032162543,1.1025197878754953,1.6275184659241049,3.4316130881778206,3.4148309814930777,0.016782106684742892,0.1488291112531348
europe,5,1.0956371064133599,1.1072062634151372,1.1569157001777297,3.582881550328243,3.560568425329458,0.022313124998785128,0.10509455006950663
europe,10,1.1001125320420082,1.1100442908703916,0.9931758828383375,3.6682001390478614,3.6484178279176938,0.019782311130167596,0.08991479698898797
europe,20,1.1024460405098477,1.1116650459105641,0.9219005400716407,3.717020439192531,3.6984507972939507,0.018569641898580347,0.08331016819846937
europe,30,1.1036454329765808,1.1125376237059694,0.8892190729388627,3.743394592195226,3.7253464715313656,0.018048120663860523,0.08028043810639485
east_asia,1,1.0200971860164658,1.024381145564458,0.4283959547992211,1.0985694844318328,1.0960062470886212,0.0025632373432116218,0.04191644912081571
east_asia,2,1.029191485012642,1.0265607822073872,-0.2630702805254792,1.1906895919010396,1.1921353043022331,-0.0014457124011935107,-0.02559031714136628
east_asia,5,1.0304052647695936,1.0268954391250278,-0.35098256445658116,1.2045318384539705,1.2068684196720247,-0.0023365812180542456,-0.034114899409054544
east_asia,10,1.030605107740857,1.0270107666425068,-0.3594341098350107,1.2095284044479349,1.2119440388143166,-0.0024156343663817026,-0.034930882818140496
east_asia,20,1.0307067547877193,1.027099952498047,-0.36068022896722507,1.2134330774501767,1.2158685813504988,-0.0024355039003221,-0.035048713408536436
east_asia,30,1.0307611897077276,1.0271568977594638,-0.3604291948263727,1.2159343363221553,1.2183741460348063,-0.0024398097126510088,-0.03502242837383207
south_asia,1,1.0644836962318673,1.049329910066458,-1.515378616540941,2.903503157671905,2.9179165726468947,-0.014413414974989713,-0.14327835626211094
south_asia,2,1.0645548055070029,1.0821280013240149,1.7573195817012,4.7480387699346815,4.738231572558494,0.009807197376188181,0.16386196052164959
south_asia,5,1.0753350464662628,1.086715685468565,1.1380639002302129,5.005599329948362,4.985759843559556,0.019839486388806282,0.1053327446941088
south_asia,10,1.079129574507822,1.0889032151284828,0.9773640620660773,5.120699210044,5.103194574941972,0.017504635102028043,0.09020264163481784
south_asia,20,1.0811591895977604,1.0901662222866704,0.900703268891001,5.187137718926882,5.170824155844489,0.016313563082392957,0.08299835346170514
south_asia,30,1.0821247420268794,1.0907921025353275,0.8667360508448185,5.22009883891128,5.204290966982383,0.015807871928896766,0.07980852744726707
southeast_asia,1,1.0546995701665056,1.057933480503402,0.32339103368963507,3.1351409838970112,3.1318455063795825,0.0032954775174287576,0.030619685169375188
southeast_asia,2,1.0521757222458838,1.0647145042105919,1.2538781964708035,3.49427679826253,3.480901085541166,0.013375712721364064,0.11853575153641938
southeast_asia,5,1.0593445467605698,1.069075260086856,0.9730713326286278,3.715612075921282,3.7035400032924715,0.012072072628810382,0.09147848745174603
southeast_asia,10,1.063380229764213,1.0716212633529472,0.8241033588734181,3.8435766143976813,3.8328705225044835,0.010706091893197822,0.07722951394437683
southeast_asia,20,1.065818250081972,1.0733709074841837,0.7552657402211782,3.9315000715464565,3.9214695735733773,0.0100304979730792,0.07063756808569632
southeast_asia,30,1.0670362447974604,1.0742975431804929,0.7261298383032466,3.978070007220269,3.9683013621990226,0.009768645021246414,0.06784359496401215
latin_america,1,1.0367430396134487,1.0329190025830024,-0.38240370304463145,1.6872390050126973,1.6900156684324097,-0.0027766634197123885,-0.03694646600743701
