region,year,price_reported,price_econ_consistent,err_pp
north_america,1,1.0451165844966166,1.0527765678113226,-0.7659983314705965
north_america,2,1.0447579364440425,1.056687634908924,-1.1929698464881566
north_america,3,1.0465543341997565,1.0578111084525126,-1.1256774252756063
north_america,4,1.0478208189658074,1.0585659078195264,-1.0745088853719054
north_america,5,1.0487352572972681,1.0591158621492947,-1.038060485202652
north_america,6,1.049404032408906,1.0595241304639231,-1.0120098055017124
north_america,7,1.049900598931056,1.0598330019643878,-0.9932403033331871
north_america,8,1.0502762314856073,1.060071900367471,-0.9795668881863673
north_america,9,1.050566700893386,1.060261328443331,-0.969462754994499
north_america,10,1.0507969453938115,1.0604155729459555,-0.9618627552143932
north_america,11,1.0509843476674436,1.0605445925592778,-0.9560244891834158
north_america,12,1.0511410270965122,1.0606553344593364,-0.9514307362824104
north_america,13,1.051275439599161,1.0607526512592698,-0.9477211660108731
north_america,14,1.0513934924701012,1.060839939056408,-0.9446446586306889
north_america,15,1.05149932042861,1.0609195811361098,-0.9420260707499795
north_america,16,1.0515958254382165,1.06099325639885,-0.9397430960633502
north_america,17,1.0516850520214753,1.061062153695608,-0.9377101674132637
north_america,18,1.051768448116977,1.0611271207517556,-0.9358672634778742
north_america,19,1.0518470463481493,1.0611887676338863,-0.9341721285736959
north_america,20,1.0519215899735386,1.06124753863448,-0.9325948660941386
north_america,21,1.051992620398488,1.061303762217928,-0.9311141819440039
north_america,22,1.0520605379826102,1.061357685728438,-0.9297147745827683
north_america,23,1.0521256442976217,1.0614094995146057,-0.9283855216984049
north_america,24,1.0521881715010084,1.0614593537037362,-0.9271182202727823
north_america,25,1.0522483027610214,1.0615073698713768,-0.9259067110355401
north_america,26,1.0523061864664498,1.06155364916542,-0.9247462698970255
north_america,27,1.052361946119579,1.0615982779676876,-0.923633184810857
north_america,28,1.0524156872307169,1.0616413318449445,-0.922564461422759
north_america,29,1.0524675021298346,1.0616828783115333,-0.9215376181698653
north_america,30,1.0525174733311105,1.0617229787662246,-0.9205505435114114
europe,1,1.0874112149246504,1.074373712211796,1.303750271285442
europe,2,1.0862446032162543,1.103348566195581,-1.7103962979326814
europe,3,1.0908748989370765,1.105324194829594,-1.4449295892517533
europe,4,1.093637489777137,1.1069503151714752,-1.3312825394338201
europe,5,1.0956371064133599,1.1081380362274134,-1.2500929814053485
europe,6,1.0970975167243058,1.109012548979543,-1.1915032255237268
europe,7,1.0981787546826887,1.1096668419007956,-1.1488087218106902
europe,8,1.09899319180484,1.110165942982651,-1.1172751177811024
europe,9,1.0996194605910414,1.1105553448878698,-1.0935884296828347
europe,10,1.1001125320420082,1.110866851392137,-1.0754319350128716
europe,11,1.1005108196685984,1.1111226921287458,-1.0611872460147387
europe,12,1.1008411686196702,1.11133840939462,-1.0497240774949734
europe,13,1.1011223497805493,1.1115248786042888,-1.0402528823739488
europe,14,1.1013675021848057,1.1116897200623153,-1.0322217877509532
europe,15,1.1015858380690888,1.1118382843033259,-1.0252446234237045
europe,16,1.1017838321217461,1.1119743392677963,-1.0190507146050187
europe,17,1.1019660504661204,1.1121005492836853,-1.0134498817564896
europe,18,1.1021357282842972,1.1122188088134675,-1.0083080529170285
europe,19,1.1022951721945056,1.1123304749532916,-1.0035302758786058
