scenario,region,year,cap_binding,y_realized_pct,y_demand_pct,y_supply_pct,solver_residual_pp,realized_minus_econ_pp,elasticity_lag_pp,price_index_reported,price_index_on_realized,price_index_error_pp,eta,clearing_residual
S3,north_america,1,0,-1.0831296175488725,-1.3151289032147795,-1.3151289032147795,0.0,0.231999285665907,1.531588423378194,1.0451165844966166,1.0369682092666963,0.814837522992029,-0.3,0.0
S3,north_america,2,0,-1.196595203894979,-1.3049670607515718,-1.3049670607515718,0.0,0.10837185685659279,0.11086098485035001,1.0447579364440425,1.0409430360925018,0.381490035154064,-0.3,0.0
S3,north_america,3,0,-1.2106328614415296,-1.3558202694864852,-1.3558202694864852,0.0,0.14518740804495556,0.029433068447744237,1.0465543341997565,1.0414361669115153,0.5118167288241215,-0.3,0.0
S3,north_america,4,0,-1.2194831171330023,-1.3916043183694105,-1.3916043183694105,0.0,0.17212120123640817,0.019338270271367086,1.0478208189658074,1.0417472248718607,0.6073594093946699,-0.3,0.0
S3,north_america,5,0,-1.2260116079498506,-1.4174064915019713,-1.4174064915019713,0.0,0.19139488355212064,0.013987674305918074,1.0487352572972681,1.0419767576922845,0.6758499604983648,-0.3,0.0
S3,north_america,6,0,-1.2309552255871492,-1.4362584190601546,-1.4362584190601546,0.0,0.2053031934730054,0.010311841186745607,1.049404032408906,1.0421506122804498,0.72534201284562,-0.3,0.0
S3,north_america,7,0,-1.2347857718764899,-1.4502459028037262,-1.4502459028037262,0.0,0.21546013092723637,0.0077416615444705905,1.049900598931056,1.042285348882033,0.761525004902297,-0.3,0.0
S3,north_america,8,0,-1.2378298889486605,-1.4608211580393715,-1.4608211580393715,0.0,0.222991269090711,0.005937401223944649,1.0502762314856073,1.0423924395733137,0.7883791912293603,-0.3,0.0
S3,north_america,9,0,-1.2403147696626315,-1.4689954283167883,-1.4689954283167883,0.0,0.22868065865415677,0.004665297811973224,1.050566700893386,1.0424798671809985,0.8086833712387609,-0.3,0.0
S3,north_america,10,0,-1.2423986010953736,-1.4754727868716455,-1.4754727868716455,0.0,0.23307418577627192,0.003763207554932646,1.0507969453938115,1.042553191690107,0.8243753703704559,-0.3,0.0
S3,north_america,11,0,-1.2441916514525309,-1.4807435236432687,-1.4807435236432687,0.0,0.2365518721907378,0.003118596591962508,1.0509843476674436,1.0426162897499158,0.8368057917527816,-0.3,0.0
S3,north_america,12,0,-1.2457709068007916,-1.4851492349084894,-1.4851492349084894,0.0,0.23937832810769777,0.0026533463260272616,1.0511410270965122,1.0426718684016538,0.8469158694858425,-0.3,0.0
S3,north_america,13,0,-1.2471902323999418,-1.488928136158485,-1.488928136158485,0.0,0.2417379037585432,0.0023132181658142015,1.051275439599161,1.0427218219402814,0.8553617658879631,-0.3,0.0
S3,north_america,14,0,-1.2484874274639401,-1.4922465812481578,-1.4922465812481578,0.0,0.24375915378421764,0.002060545503519695,1.0513934924701012,1.042767479783711,0.8626012686390183,-0.3,0.0
S3,north_america,15,0,-1.2496891233350071,-1.4952209745216605,-1.4952209745216605,0.0,0.24553185118665333,0.0018691633365416904,1.05149932042861,1.0428097786265966,0.8689541802013423,-0.3,0.0
S3,north_america,16,0,-1.250814184493143,-1.497932998409579,-1.497932998409579,0.0,0.24711881391643598,0.0017208899120449428,1.0515958254382165,1.042849382003648,0.874644343456854,-0.3,0.0
S3,north_america,17,0,-1.251876070165725,-1.5004401930864053,-1.5004401930864053,0.0,0.2485641229206803,0.0016030850869264146,1.0516850520214753,1.0428867633285235,0.879828869295185,-0.3,0.0
