test_family,case,region,horizon_year,low_soc_loss_pct,high_soc_loss_pct,monotone_pass,domain_pass
one-at-a-time MC prior bound,MC_k_slow_mult_hi,sub_saharan_africa,1,4.10227,2.9034,True,True
one-at-a-time MC prior bound,MC_k_slow_mult_hi,fsu_central_asia,1,5.32278,3.57091,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_lo,north_america,1,3.10806,2.35054,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_lo,europe,1,3.65887,3.35047,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_lo,east_asia,1,1.80543,1.43485,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_lo,south_asia,1,4.11958,3.9602,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_lo,southeast_asia,1,7.29114,5.12641,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_lo,latin_america,1,3.67615,3.00676,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_lo,sub_saharan_africa,1,5.56073,4.84281,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_lo,fsu_central_asia,1,7.15451,6.09651,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_hi,north_america,1,1.323,0.377618,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_hi,europe,1,1.86161,1.25495,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_hi,east_asia,1,1.0156,0.362936,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_hi,south_asia,1,1.91752,1.60657,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_hi,southeast_asia,1,2.69009,0.551058,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_hi,latin_america,1,1.01057,0.409884,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_hi,sub_saharan_africa,1,2.43536,1.30414,True,True
one-at-a-time MC prior bound,MC_cre_regional_mult_hi,fsu_central_asia,1,3.38874,1.6514,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_lo,north_america,1,2.32658,1.24759,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_lo,europe,1,2.91018,2.39171,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_lo,east_asia,1,1.47943,0.88921,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_lo,south_asia,1,3.12284,2.85346,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_lo,southeast_asia,1,5.17936,2.36057,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_lo,latin_america,1,2.3231,1.47462,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_lo,sub_saharan_africa,1,4.27181,3.09882,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_lo,fsu_central_asia,1,5.5887,3.88952,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_hi,north_america,1,2.10392,1.00656,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_hi,europe,1,2.68949,2.13252,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_hi,east_asia,1,1.36641,0.735378,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_hi,south_asia,1,2.88341,2.59718,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_hi,southeast_asia,1,4.51811,1.74348,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_hi,latin_america,1,1.98891,1.1623,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_hi,sub_saharan_africa,1,3.9763,2.76259,True,True
one-at-a-time MC prior bound,MC_residue_retention_mult_hi,fsu_central_asia,1,5.1315,3.35053,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_lo,north_america,1,1.09442,0.545154,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_lo,europe,1,1.39956,1.12389,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_lo,east_asia,1,0.645672,0.364215,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_lo,south_asia,1,1.51363,1.37179,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_lo,southeast_asia,1,2.4364,1.00976,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_lo,latin_america,1,1.09574,0.663465,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_lo,sub_saharan_africa,1,2.21511,1.56776,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_lo,fsu_central_asia,1,2.73341,1.83373,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_hi,north_america,1,3.25428,1.62103,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_hi,europe,1,4.09413,3.28772,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_hi,east_asia,1,2.30179,1.29841,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_hi,south_asia,1,4.39324,3.98154,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_hi,southeast_asia,1,7.0393,2.91742,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_hi,latin_america,1,3.09128,1.87175,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_hi,sub_saharan_africa,1,5.70683,4.03904,True,True
one-at-a-time MC prior bound,MC_eps_F_PF_mult_hi,fsu_central_asia,1,7.7655,5.20957,True,True
one-at-a-time MC prior bound,MC_eta_mult_lo,north_america,1,2.12838,1.06019,True,True
one-at-a-time MC prior bound,MC_eta_mult_lo,europe,1,2.69361,2.16306,True,True
one-at-a-time MC prior bound,MC_eta_mult_lo,east_asia,1,1.40099,0.79028,True,True
one-at-a-time MC prior bound,MC_eta_mult_lo,south_asia,1,2.95102,2.67447,True,True
one-at-a-time MC prior bound,MC_eta_mult_lo,southeast_asia,1,4.72984,1.96027,True,True
one-at-a-time MC prior bound,MC_eta_mult_lo,latin_america,1,2.1051,1.27463,True,True
one-at-a-time MC prior bound,MC_eta_mult_lo,sub_saharan_africa,1,4.09233,2.89636,True,True
one-at-a-time MC prior bound,MC_eta_mult_lo,fsu_central_asia,1,5.16831,3.46722,True,True
one-at-a-time MC prior bound,MC_eta_mult_hi,north_america,1,2.20359,1.09766,True,True
one-at-a-time MC prior bound,MC_eta_mult_hi,europe,1,2.79821,2.24706,True,True
one-at-a-time MC prior bound,MC_eta_mult_hi,east_asia,1,1.41888,0.800372,True,True
one-at-a-time MC prior bound,MC_eta_mult_hi,south_asia,1,2.99831,2.71733,True,True
one-at-a-time MC prior bound,MC_eta_mult_hi,southeast_asia,1,4.81835,1.99695,True,True
one-at-a-time MC prior bound,MC_eta_mult_hi,latin_america,1,2.13527,1.29289,True,True
one-at-a-time MC prior bound,MC_eta_mult_hi,sub_saharan_africa,1,4.10657,2.90644,True,True
one-at-a-time MC prior bound,MC_eta_mult_hi,fsu_central_asia,1,5.39153,3.61697,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_lo,north_america,1,1.27967,0.637431,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_lo,europe,1,1.63424,1.31235,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_lo,east_asia,1,0.767511,0.432943,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_lo,south_asia,1,1.76708,1.60148,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_lo,southeast_asia,1,2.84312,1.17833,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_lo,latin_america,1,1.27545,0.772276,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_lo,sub_saharan_africa,1,2.5576,1.81016,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_lo,fsu_central_asia,1,3.18364,2.13578,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_hi,north_america,1,2.87348,1.43135,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_hi,europe,1,3.62581,2.91164,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_hi,east_asia,1,1.97188,1.11231,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_hi,south_asia,1,3.89926,3.53385,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_hi,southeast_asia,1,6.25236,2.59128,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_hi,latin_america,1,2.75499,1.66813,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_hi,sub_saharan_africa,1,5.16516,3.65567,True,True
one-at-a-time MC prior bound,MC_fert_price_shock_mult_hi,fsu_central_asia,1,6.91233,4.63721,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_0,north_america,10,2.09972,1.53324,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_0,europe,10,4.0157,3.32039,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_0,east_asia,10,1.34363,1.0913,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_0,south_asia,10,5.59844,4.65493,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_0,southeast_asia,10,4.65839,3.19375,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_0,latin_america,10,3.08163,2.06285,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_0,sub_saharan_africa,10,5.59174,4.37277,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_0,fsu_central_asia,10,6.27048,4.86147,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.25,north_america,10,2.08038,1.49636,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.25,europe,10,3.94495,3.19145,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.25,east_asia,10,1.65492,0.952222,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.25,south_asia,10,5.67056,4.41156,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.25,southeast_asia,10,4.57123,3.13237,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.25,latin_america,10,2.92748,2.07058,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.25,sub_saharan_africa,10,5.07592,4.47277,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.25,fsu_central_asia,10,5.89335,4.75391,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.5,north_america,10,2.0414,1.45623,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.5,europe,10,3.84063,3.06125,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.5,east_asia,10,1.94751,0.822884,True,True
WHC x soil-N-response structural grid,WHC_2.3_epsFN_-0.5,south_asia,10,5.65683,4.16899,True,True
