whc_mm_per_soc_pct,soil_n_demand_elasticity,global_loss_year10_pct,global_loss_year30_pct
2.3,0.0,3.196015419906719,3.306170644614554
2.3,-0.25,3.111689455435649,3.1881728124878723
2.3,-0.5,3.030446246619385,3.0783230065298284
2.3,-1.0,2.8769175551327058,2.8799605972059044
3.48,0.0,3.197514742306967,3.3094296218085932
3.48,-0.25,3.1131407781014078,3.1912407367863516
3.48,-0.5,3.0318509189992815,3.0812166786062973
3.48,-1.0,2.8782329654863332,2.882549039865164
8.4,0.0,3.203784733941986,3.3231110695629913
8.4,-0.25,3.119209991031721,3.2041184736793205
8.4,-0.5,3.03772499755268,3.0933614706583974
8.4,-1.0,2.8837336668857367,2.893410200714623
