panel_c_class,rank_in_class,iso3,fao_name,region,cropland_Mha,buffer_proxy_t_ha,exposure_combined,n_intensity_raw,import_reliance,reexport_flag
high_buffer_low_exposure,1,RUS,Russian Federation,Europe,123.442,12.454127031988364,0.0233392965477264,14.00357792863585,0.0,False
high_buffer_low_exposure,2,UKR,Ukraine,Europe,33.76866666666666,13.478282071599628,0.1708723424830431,45.293881902355245,0.1907650786249022,False
high_buffer_low_exposure,3,KAZ,Kazakhstan,Central Asia,29.69183333333333,11.539891742025665,0.139502745154376,2.3569668427345345,0.2711489341663035,False
intermediate,1,IND,India,South Asia,168.49833333333333,5.216460043479594,0.3339373128713236,112.55521815250398,0.2926905652343007,False
intermediate,2,USA,United States of America,Northern America,158.15573,9.364585678135484,0.1934228136182199,74.98400258192774,0.1368989519633473,False
intermediate,3,IDN,Indonesia,East & Southeast Asia,42.9017896,7.993584352896216,0.1256921925699808,75.41531554198848,0.0,False
intermediate,4,ARG,Argentina,Latin America & Caribbean,42.055,6.439895032800729,0.3706060506328065,30.43157769587445,0.6397735089460315,False
intermediate,5,CAN,Canada,Northern America,38.692,11.135856483285371,0.1203521830524828,72.21130983148971,0.0,False
intermediate,6,PAK,Pakistan,South Asia,31.633333333333333,4.082065441260263,0.2292080760927204,110.4959114857745,0.0900964472328591,False
intermediate,7,MEX,Mexico,Latin America & Caribbean,23.5458262,7.568356195120401,0.4295676898966641,57.38418301923931,0.6678547697291973,False
intermediate,8,TUR,TÃ¼rkiye,North Africa & West Asia,23.141333333333332,7.5544271125826175,0.3756359573963536,75.80695436736576,0.4985820669014879,False
intermediate,9,SDN,Sudan,Sub-Saharan Africa,21.211,3.712341033941667,0.5128508006851791,7.7104804111074445,1.0,False
intermediate,10,ETH,Ethiopia,Sub-Saharan Africa,18.1897,7.069246338951768,0.5323531082609022,19.41186495654134,1.0,False
intermediate,11,NER,Niger,Sub-Saharan Africa,17.8139,2.039975638318538,0.5009231243267586,0.5538745960551404,1.0,False
intermediate,12,ESP,Spain,Europe,16.725521866666668,6.661439100963047,0.3098737253004009,61.86242447809142,0.4135393690071637,False
intermediate,13,COD,Democratic Republic of the Congo,Sub-Saharan Africa,15.5764,5.34822957028757,0.5025242960147688,1.5145776088612688,1.0,False
intermediate,14,TZA,United Republic of Tanzania,Sub-Saharan Africa,15.309433333333335,4.420992528917475,0.5141913591402251,8.514815484135054,1.0,False
intermediate,15,CIV,CÃ´te d'Ivoire,Sub-Saharan Africa,12.631492333333334,6.062492704585846,0.5059952887945474,3.597173276728426,1.0,False
low_buffer_high_exposure,1,CHN,China; mainland,East & Southeast Asia,128.0813333333333,6.116925972251791,0.3496956100810943,209.8173660486566,0.0,False
low_buffer_high_exposure,2,BRA,Brazil,Latin America & Caribbean,63.47,6.299217935175629,0.5966578374928528,80.9650228454388,0.9234322655009096,False
low_buffer_high_exposure,3,AUS,Australia,Oceania,31.074,4.099865020651884,0.4712261852814833,48.85479822359529,0.7796030431509823,False
low_buffer_high_exposure,4,THA,Thailand,East & Southeast Asia,22.188374399999997,5.1135015487911515,0.5582903582054436,62.11423942801325,0.909533251650843,False
low_buffer_high_exposure,5,ZAF,South Africa,Sub-Saharan Africa,12.413,4.515909441324311,0.4355427054355349,43.81248153817235,0.7250438057438287,False
low_buffer_high_exposure,6,UZB,Uzbekistan,Central Asia,4.4311,5.857398212969289,0.2887981163443238,173.2788698065943,0.0,False
low_buffer_high_exposure,7,PRY,Paraguay,Latin America & Caribbean,4.4125203,6.415029150485236,0.5500299870197387,30.017992211843197,1.0,False
low_buffer_high_exposure,8,ZMB,Zambia,Sub-Saharan Africa,3.839,3.659796464556352,0.5734232004862377,44.05392029174264,1.0,False
