iso3,fao_name,region,cropland_Mha,buffer_proxy_t_ha,n_stock_median_allland_t_ha,n_intensity_raw,import_reliance,class_phase1,class_phase2,buffer_class_phase1,buffer_class_phase2,changed
DZA,Algeria,North Africa & West Asia,8.495832866666667,5.848420465503982,3.6759,8.262874411692954,,data_missing,data_missing,low,low,False
SSD,South Sudan,Sub-Saharan Africa,2.4777,,,0.0384765441067656,1.0,data_missing,data_missing,data_missing,data_missing,False
SOM,Somalia,Sub-Saharan Africa,1.1275333333333333,4.231972701963488,4.2760496,,,data_missing,data_missing,low,low,False
NLD,Netherlands (Kingdom of the),Europe,1.0499466666666668,13.500428611517815,12.285299,199.9184085540853,,data_missing,data_missing,high,high,False
NOR,Norway,Europe,0.806364,13.815620387130622,15.778801,130.21662673432843,,data_missing,data_missing,high,high,False
TLS,Timor-Leste,East & Southeast Asia,0.1916333333333333,7.008039105443645,6.57535,,,data_missing,data_missing,moderate,moderate,False
PSE,Palestine,North Africa & West Asia,0.1436606,,,55.02552543982136,1.0,data_missing,data_missing,data_missing,data_missing,False
ISL,Iceland,Europe,0.121,,12.501801,92.37465564738292,1.0,high_buffer_high_exposure,data_missing,high,data_missing,True
OMN,Oman,North Africa & West Asia,0.1093933333333333,3.3830375803702477,2.954325,87.40325431165824,,data_missing,data_missing,low,low,False
SLB,Solomon Islands,Oceania,0.0961333333333333,11.291149988143538,11.237551,6.16504854368932,1.0,data_missing,data_missing,data_missing,data_missing,False
ARE,United Arab Emirates,North Africa & West Asia,0.0873166666666666,2.77101540704464,2.284,120.96965069669784,0.0174782790428792,data_missing,data_missing,data_missing,data_missing,False
MUS,Mauritius,Sub-Saharan Africa,0.079,7.470469600410743,7.183875,87.96624472573839,1.0,data_missing,data_missing,data_missing,data_missing,False
SUR,Suriname,Latin America & Caribbean,0.0666666666666666,13.059587959487628,6.3398,134.945,1.0,data_missing,data_missing,data_missing,data_missing,False
PRI,Puerto Rico,Latin America & Caribbean,0.0662,10.95742722706048,10.607475,27.940584088620344,,data_missing,data_missing,data_missing,data_missing,False
LUX,Luxembourg,Europe,0.0636253333333333,10.255040965254228,10.3386,192.50717743456485,1.0,data_missing,data_missing,data_missing,data_missing,False
CPV,Cabo Verde,Sub-Saharan Africa,0.054,8.617806730659595,8.436,3.246913580246914,1.0,data_missing,data_missing,data_missing,data_missing,False
TTO,Trinidad and Tobago,Latin America & Caribbean,0.047,11.913185859226346,12.547649,28.475177304964536,0.0,data_missing,data_missing,data_missing,data_missing,False
WSM,Samoa,Oceania,0.04445,,11.8356,0.4349456317960254,1.0,data_missing,data_missing,data_missing,data_missing,False
STP,Sao Tome and Principe,Sub-Saharan Africa,0.041,13.61327733884748,12.24525,2.772357723577236,1.0,data_missing,data_missing,data_missing,data_missing,False
REU,R̩union,Sub-Saharan Africa,0.034689,,,13.299124602419594,,data_missing,data_missing,data_missing,data_missing,False
KIR,Kiribati,Oceania,0.034,,16.671349,0.0,1.0,data_missing,data_missing,data_missing,data_missing,False
TON,Tonga,Oceania,0.031,,15.761749,2.5053763440860215,1.0,data_missing,data_missing,data_missing,data_missing,False
PYF,French Polynesia,Oceania,0.0278333333333333,,12.197299,11.10179640718563,1.0,data_missing,data_missing,data_missing,data_missing,False
GLP,Guadeloupe,Latin America & Caribbean,0.024188,,,0.0,,data_missing,data_missing,data_missing,data_missing,False
QAT,Qatar,North Africa & West Asia,0.024,2.217695176637695,1.97385,58.84722222222222,0.0,data_missing,data_missing,data_missing,data_missing,False
DMA,Dominica,Latin America & Caribbean,0.023,13.29893000858359,13.566774,5.913043478260869,1.0,data_missing,data_missing,data_missing,data_missing,False
GUF,French Guiana,Latin America & Caribbean,0.018008,,,55.271731082481864,,data_missing,data_missing,data_missing,data_missing,False
MYT,Mayotte,Sub-Saharan Africa,0.016584,,,,,data_missing,data_missing,data_missing,data_missing,False
MTQ,Martinique,Latin America & Caribbean,0.015711,,,27.9209895402372,,data_missing,data_missing,data_missing,data_missing,False
MNE,Montenegro,Europe,0.01475,13.353764736371843,13.159025,93.98870056497177,1.0,data_missing,data_missing,data_missing,data_missing,False
KWT,Kuwait,North Africa & West Asia,0.014,2.6307625359864253,2.1893501,179.5,0.0,data_missing,data_missing,data_missing,data_missing,False
BHS,Bahamas,Latin America & Caribbean,0.011,26.094263479688536,24.419674,93.15151515151516,1.0,data_missing,data_missing,data_missing,data_missing,False
BRN,Brunei Darussalam,East & Southeast Asia,0.01,9.823562341635755,9.337275,24.3,1.0,data_missing,data_missing,data_missing,data_missing,False
MLT,Malta,Europe,0.0099566666666666,6.985601543277972,6.9817996,58.85503850016739,1.0,data_missing,data_missing,data_missing,data_missing,False
NCL,New Caledonia,Oceania,0.0097,7.311163993713358,7.12945,57.93814432989691,1.0,data_missing,data_missing,data_missing,data_missing,False
LCA,Saint Lucia,Latin America & Caribbean,0.00957,14.91061824304842,14.890399,27.063740856844305,1.0,data_missing,data_missing,data_missing,data_missing,False
BRB,Barbados,Latin America & Caribbean,0.008,13.93068091277448,13.71895,23.041666666666668,1.0,data_missing,data_missing,data_missing,data_missing,False
GUM,Guam,Oceania,0.008,10.321130196835094,10.114201,,,data_missing,data_missing,data_missing,data_missing,False
GRD,Grenada,Latin America & Caribbean,0.007,12.03415886924734,12.26195,27.952380952380953,,data_missing,data_missing,data_missing,data_missing,False
MHL,Marshall Islands,Oceania,0.007,,,,1.0,data_missing,data_missing,data_missing,data_missing,False
WLF,Wallis and Futuna Islands,Oceania,0.006,,,,,data_missing,data_missing,data_missing,data_missing,False
MDV,Maldives,South Asia,0.0054,,,54.50617283950617,1.0,data_missing,data_missing,data_missing,data_missing,False
KNA,Saint Kitts and Nevis,Latin America & Caribbean,0.0051,19.05251797365611,18.894798,2.549019607843137,1.0,data_missing,data_missing,data_missing,data_missing,False
ATG,Antigua and Barbuda,Latin America & Caribbean,0.005,16.4160414604766,18.07275,2.533333333333333,1.0,data_missing,data_missing,data_missing,data_missing,False
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean,0.005,11.616147022661483,10.821699,28.0,1.0,data_missing,data_missing,data_missing,data_missing,False
BHR,Bahrain,North Africa & West Asia,0.0041,3.6423440840326538,3.2156496,34.959349593495936,0.0,data_missing,data_missing,data_missing,data_missing,False
ESH,Western Sahara,North Africa & West Asia,0.004,,,,,data_missing,data_missing,data_missing,data_missing,False
SHN,Ascension; Saint Helena and Tristan da Cunha,Sub-Saharan Africa,0.004,,9.701849,,,data_missing,data_missing,data_missing,data_missing,False
NIU,Niue,Oceania,0.0038,,15.229725,,,data_missing,data_missing,data_missing,data_missing,False
HKG,China; Hong Kong SAR,East & Southeast Asia,0.0036666666666666,7.0516865759798595,6.5629997,200.0909090909091,1.0,data_missing,data_missing,data_missing,data_missing,False
DJI,Djibouti,Sub-Saharan Africa,0.0031333333333333,7.286796550023426,6.2493997,14.148936170212766,1.0,data_missing,data_missing,data_missing,data_missing,False
ASM,American Samoa,Oceania,0.00284,,11.149876,,,data_missing,data_missing,data_missing,data_missing,False
SMR,San Marino,Europe,0.0023,10.011449541539168,10.01145,,,data_missing,data_missing,data_missing,data_missing,False
PLW,Palau,Oceania,0.0023,,9.626301,3.4782608695652173,1.0,data_missing,data_missing,data_missing,data_missing,False
ABW,Aruba,Latin America & Caribbean,0.002,,7.4701996,0.8333333333333334,1.0,data_missing,data_missing,data_missing,data_missing,False
MSR,Montserrat,Latin America & Caribbean,0.002,15.328199397802118,15.328199,,,data_missing,data_missing,data_missing,data_missing,False
VGB,British Virgin Islands,Latin America & Caribbean,0.002,,,,,data_missing,data_missing,data_missing,data_missing,False
SPM,Saint Pierre and Miquelon,Northern America,0.002,,10.4535,,,data_missing,data_missing,data_missing,data_missing,False
FSM,Micronesia (Federated States of),Oceania,0.002,,11.7387,1.0,1.0,data_missing,data_missing,data_missing,data_missing,False
COK,Cook Islands,Oceania,0.0019,,,5.964912280701754,1.0,data_missing,data_missing,data_missing,data_missing,False
TUV,Tuvalu,Oceania,0.0018,,,3.888888888888889,1.0,data_missing,data_missing,data_missing,data_missing,False
LIE,Liechtenstein,Europe,0.0017333333333333,14.777224696193384,16.525051,,,data_missing,data_missing,data_missing,data_missing,False
SYC,Seychelles,Sub-Saharan Africa,0.00155,15.11981837270795,15.474299,33.763440860215056,1.0,data_missing,data_missing,data_missing,data_missing,False
VIR,United States Virgin Islands,Latin America & Caribbean,0.0011,12.163799650369368,12.163799,,,data_missing,data_missing,data_missing,data_missing,False
TCA,Turks and Caicos Islands,Latin America & Caribbean,0.001,,23.458199,,,data_missing,data_missing,data_missing,data_missing,False
AND,Andorra,Europe,0.0008038,16.401885341026635,15.791999,,,data_missing,data_missing,data_missing,data_missing,False
CYM,Cayman Islands,Latin America & Caribbean,0.0007,15.22180011247987,15.2218,,,data_missing,data_missing,data_missing,data_missing,False
SGP,Singapore,East & Southeast Asia,0.00066,6.820054126991158,6.8234005,66.66666666666667,,data_missing,data_missing,data_missing,data_missing,False
TKL,Tokelau,Oceania,0.0006,,,,,data_missing,data_missing,data_missing,data_missing,False
NRU,Nauru,Oceania,0.0004,,,0.0,,data_missing,data_missing,data_missing,data_missing,False
BMU,Bermuda,Northern America,0.0003,,,196.66666666666663,1.0,data_missing,data_missing,data_missing,data_missing,False
MNP,Northern Mariana Islands,Oceania,0.00017,10.873237938031757,12.303551,,,data_missing,data_missing,data_missing,data_missing,False
FRO,Faroe Islands,Europe,6.733333333333333e-05,34.981746983205404,34.007027,4019.801980198021,1.0,data_missing,data_missing,data_missing,data_missing,False
MAC,China; Macao SAR,East & Southeast Asia,,,,,,data_missing,data_missing,data_missing,data_missing,False
GIB,Gibraltar,Europe,,,,,,data_missing,data_missing,data_missing,data_missing,False
MCO,Monaco,Europe,,12.94499928599171,12.945,,,data_missing,data_missing,data_missing,data_missing,False
SJM,Svalbard and Jan Mayen Islands,Europe,,,,,,data_missing,data_missing,data_missing,data_missing,False
VAT,Holy See,Europe,,,,,,data_missing,data_missing,data_missing,data_missing,False
AIA,Anguilla,Latin America & Caribbean,,,25.951897,,,data_missing,data_missing,data_missing,data_missing,False
FLK,Falkland Islands (Malvinas),Latin America & Caribbean,,,10.865749,,,data_missing,data_missing,data_missing,data_missing,False
GRL,Greenland,Northern America,,,16.893675,,1.0,data_missing,data_missing,data_missing,data_missing,False
NFK,Norfolk Island,Oceania,,,,,,data_missing,data_missing,data_missing,data_missing,False
PCN,Pitcairn,Oceania,,,,,,data_missing,data_missing,data_missing,data_missing,False
FRA,France,Europe,18.7089597,10.286872989992755,10.30945,111.97319538830372,0.8428242727958287,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,6.079697133333333,14.236197924284008,15.14045,166.5653147612386,0.7539652946016934,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
PER,Peru,Latin America & Caribbean,5.924622833333333,9.424950224196868,7.3006496,49.950971562549825,1.0,intermediate,high_buffer_high_exposure,moderate,high,True
COL,Colombia,Latin America & Caribbean,4.590222233333334,9.816283152792186,7.2978,107.5041631789694,0.8142399506329496,intermediate,high_buffer_high_exposure,moderate,high,True
SWE,Sweden,Europe,2.5437466666666664,13.565081136264965,12.55925,76.26833909037065,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
ECU,Ecuador,Latin America & Caribbean,2.4213333333333336,9.724819999655482,9.05895,87.60311123348018,1.0,intermediate,high_buffer_high_exposure,moderate,high,True
DNK,Denmark,Europe,2.41222,10.66774790242579,10.288025,94.39465167632582,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
LKA,Sri Lanka,South Asia,2.3717242666666665,10.826665160186405,10.9145,63.499371371556855,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
MDA,Republic of Moldova,Europe,1.9892333333333332,10.590542523785912,10.415199,27.84104428841933,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
CHL,Chile,Latin America & Caribbean,1.9441547,10.624709915611843,10.702825,126.22795226463543,0.8175187530092974,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
NIC,Nicaragua,Latin America & Caribbean,1.799,9.816266373294042,11.107949,31.394107837687603,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
HND,Honduras,Latin America & Caribbean,1.594,9.297619307635276,9.839951,70.45294855708909,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
DOM,Dominican Republic,Latin America & Caribbean,1.4214826333333337,10.47813222900407,10.2672,86.82812140816634,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
AUT,Austria,Europe,1.3930351333333335,11.062783263658332,13.516799,78.25741844175549,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
LVA,Latvia,Europe,1.3246666666666669,16.91785667772727,15.687975,60.29290387518872,1.0,high_buffer_high_exposure,high_buffer_high_exposure,high,high,False
