iso3,fao_area_code,m49_code,fao_name,region,historical,unmapped
AZE,52,031,Azerbaijan,North Africa & West Asia,False,False
BHR,13,048,Bahrain,North Africa & West Asia,False,False
CYP,50,196,Cyprus,North Africa & West Asia,False,False
EGY,59,818,Egypt,North Africa & West Asia,False,False
GEO,73,268,Georgia,North Africa & West Asia,False,False
IRN,102,364,Iran (Islamic Republic of),North Africa & West Asia,False,False
IRQ,103,368,Iraq,North Africa & West Asia,False,False
ISR,105,376,Israel,North Africa & West Asia,False,False
JOR,112,400,Jordan,North Africa & West Asia,False,False
KWT,118,414,Kuwait,North Africa & West Asia,False,False
LBN,121,422,Lebanon,North Africa & West Asia,False,False
LBY,124,434,Libya,North Africa & West Asia,False,False
MAR,143,504,Morocco,North Africa & West Asia,False,False
OMN,221,512,Oman,North Africa & West Asia,False,False
PSE,299,275,Palestine,North Africa & West Asia,False,False
QAT,179,634,Qatar,North Africa & West Asia,False,False
SAU,194,682,Saudi Arabia,North Africa & West Asia,False,False
SYR,212,760,Syrian Arab Republic,North Africa & West Asia,False,False
TUN,222,788,Tunisia,North Africa & West Asia,False,False
TUR,223,792,TÃ¼rkiye,North Africa & West Asia,False,False
ARE,225,784,United Arab Emirates,North Africa & West Asia,False,False
ESH,205,732,Western Sahara,North Africa & West Asia,False,False
YEM,249,887,Yemen,North Africa & West Asia,False,False
BMU,17,060,Bermuda,Northern America,False,False
CAN,33,124,Canada,Northern America,False,False
GRL,85,304,Greenland,Northern America,False,False
SPM,190,666,Saint Pierre and Miquelon,Northern America,False,False
USA,231,840,United States of America,Northern America,False,False
ASM,5,016,American Samoa,Oceania,False,False
AUS,10,036,Australia,Oceania,False,False
COK,47,184,Cook Islands,Oceania,False,False
FJI,66,242,Fiji,Oceania,False,False
PYF,70,258,French Polynesia,Oceania,False,False
GUM,88,316,Guam,Oceania,False,False
KIR,83,296,Kiribati,Oceania,False,False
MHL,127,584,Marshall Islands,Oceania,False,False
FSM,145,583,Micronesia (Federated States of),Oceania,False,False
NRU,148,520,Nauru,Oceania,False,False
NCL,153,540,New Caledonia,Oceania,False,False
NZL,156,554,New Zealand,Oceania,False,False
NIU,160,570,Niue,Oceania,False,False
NFK,161,574,Norfolk Island,Oceania,False,False
MNP,163,580,Northern Mariana Islands,Oceania,False,False
PLW,180,585,Palau,Oceania,False,False
PNG,168,598,Papua New Guinea,Oceania,False,False
PCN,172,612,Pitcairn,Oceania,False,False
WSM,244,882,Samoa,Oceania,False,False
SLB,25,090,Solomon Islands,Oceania,False,False
TKL,218,772,Tokelau,Oceania,False,False
TON,219,776,Tonga,Oceania,False,False
TUV,227,798,Tuvalu,Oceania,False,False
VUT,155,548,Vanuatu,Oceania,False,False
WLF,243,876,Wallis and Futuna Islands,Oceania,False,False
AFG,2,004,Afghanistan,South Asia,False,False
BGD,16,050,Bangladesh,South Asia,False,False
BTN,18,064,Bhutan,South Asia,False,False
IND,100,356,India,South Asia,False,False
MDV,132,462,Maldives,South Asia,False,False
NPL,149,524,Nepal,South Asia,False,False
PAK,165,586,Pakistan,South Asia,False,False
LKA,38,144,Sri Lanka,South Asia,False,False
AGO,7,024,Angola,Sub-Saharan Africa,False,False
SHN,187,654,Ascension; Saint Helena and Tristan da Cunha,Sub-Saharan Africa,False,False
BEN,53,204,Benin,Sub-Saharan Africa,False,False
BWA,20,072,Botswana,Sub-Saharan Africa,False,False
BFA,233,854,Burkina Faso,Sub-Saharan Africa,False,False
BDI,29,108,Burundi,Sub-Saharan Africa,False,False
CPV,35,132,Cabo Verde,Sub-Saharan Africa,False,False
CMR,32,120,Cameroon,Sub-Saharan Africa,False,False
CAF,37,140,Central African Republic,Sub-Saharan Africa,False,False
TCD,39,148,Chad,Sub-Saharan Africa,False,False
COM,45,174,Comoros,Sub-Saharan Africa,False,False
COG,46,178,Congo,Sub-Saharan Africa,False,False
CIV,107,384,CÃ´te d'Ivoire,Sub-Saharan Africa,False,False
COD,250,180,Democratic Republic of the Congo,Sub-Saharan Africa,False,False
DJI,72,262,Djibouti,Sub-Saharan Africa,False,False
GNQ,61,226,Equatorial Guinea,Sub-Saharan Africa,False,False
ERI,178,232,Eritrea,Sub-Saharan Africa,False,False
SWZ,209,748,Eswatini,Sub-Saharan Africa,False,False
ETH,238,231,Ethiopia,Sub-Saharan Africa,False,False
GAB,74,266,Gabon,Sub-Saharan Africa,False,False
GMB,75,270,Gambia,Sub-Saharan Africa,False,False
GHA,81,288,Ghana,Sub-Saharan Africa,False,False
GIN,90,324,Guinea,Sub-Saharan Africa,False,False
GNB,175,624,Guinea-Bissau,Sub-Saharan Africa,False,False
KEN,114,404,Kenya,Sub-Saharan Africa,False,False
LSO,122,426,Lesotho,Sub-Saharan Africa,False,False
LBR,123,430,Liberia,Sub-Saharan Africa,False,False
MDG,129,450,Madagascar,Sub-Saharan Africa,False,False
MWI,130,454,Malawi,Sub-Saharan Africa,False,False
MLI,133,466,Mali,Sub-Saharan Africa,False,False
MRT,136,478,Mauritania,Sub-Saharan Africa,False,False
MUS,137,480,Mauritius,Sub-Saharan Africa,False,False
MYT,270,175,Mayotte,Sub-Saharan Africa,False,False
MOZ,144,508,Mozambique,Sub-Saharan Africa,False,False
NAM,147,516,Namibia,Sub-Saharan Africa,False,False
NER,158,562,Niger,Sub-Saharan Africa,False,False
NGA,159,566,Nigeria,Sub-Saharan Africa,False,False
RWA,184,646,Rwanda,Sub-Saharan Africa,False,False
REU,182,638,RÃ©union,Sub-Saharan Africa,False,False
STP,193,678,Sao Tome and Principe,Sub-Saharan Africa,False,False
SEN,195,686,Senegal,Sub-Saharan Africa,False,False
SYC,196,690,Seychelles,Sub-Saharan Africa,False,False
SLE,197,694,Sierra Leone,Sub-Saharan Africa,False,False
SOM,201,706,Somalia,Sub-Saharan Africa,False,False
ZAF,202,710,South Africa,Sub-Saharan Africa,False,False
SSD,277,728,South Sudan,Sub-Saharan Africa,False,False
SDN,276,729,Sudan,Sub-Saharan Africa,False,False
SDN,206,736,Sudan (former),Sub-Saharan Africa,True,False
TGO,217,768,Togo,Sub-Saharan Africa,False,False
UGA,226,800,Uganda,Sub-Saharan Africa,False,False
TZA,215,834,United Republic of Tanzania,Sub-Saharan Africa,False,False
ZMB,251,894,Zambia,Sub-Saharan Africa,False,False
ZWE,181,716,Zimbabwe,Sub-Saharan Africa,False,False
,15,058,Belgium-Luxembourg,Unassigned,True,True
,259,830,Channel Islands,Unassigned,False,True
,351,159,China,Unassigned,False,True
,51,200,Czechoslovakia,Unassigned,True,True
,62,230,Ethiopia PDR,Unassigned,True,True
,264,833,Isle of Man,Unassigned,False,True
,151,530,Netherlands Antilles (former),Unassigned,True,True
,164,582,Pacific Islands Trust Territory,Unassigned,True,True
,186,891,Serbia and Montenegro,Unassigned,True,True
,228,810,USSR,Unassigned,True,True
,248,890,Yugoslav SFR,Unassigned,True,True
