statistic,weighting,value,p_value,n_countries,cropland_Mha_total
Pearson,unweighted,0.24184763711540086,0.0013041771949109863,174,1551.7368885666665
Pearson,cropland-area-weighted,-0.4035740745021266,,174,1551.7368885666665
Spearman,unweighted,0.2523615435300637,0.0007810448824971649,174,1551.7368885666665
Spearman,cropland-area-weighted,-0.23670996358046106,,174,1551.7368885666665
