region,synth_n_baseline_kgha,solved_shock_pct,target_reduction,s1_reduction_yr1,s3_reduction_mean,s3_reduction_yr1,s3_reduction_yr5,s3_reduction_yr10,s3_reduction_yr30
north_america,76.0,103.9,0.2,0.1328,0.12567,0.12897,0.1253,0.12345,0.12198
europe,85.0,103.9,0.2,0.16315,0.1499,0.15611,0.14922,0.14553,0.14283
east_asia,250.0,103.9,0.2,0.19244,0.18812,0.19083,0.18779,0.18671,0.18588
south_asia,110.0,103.9,0.2,0.24797,0.23533,0.24326,0.23461,0.22948,0.22572
southeast_asia,89.0,103.9,0.2,0.24797,0.23798,0.24396,0.23742,0.23366,0.23045
latin_america,50.0,103.9,0.2,0.19244,0.18561,0.18952,0.18534,0.18248,0.18003
sub_saharan_africa,7.0,103.9,0.2,0.29968,0.29224,0.29859,0.29191,0.28712,0.28225
fsu_central_asia,38.0,103.9,0.2,0.19244,0.17642,0.18533,0.17553,0.16995,0.16533
